Origin,origin_country,origin_lat,origin_lon,Destination,dist_lat,dist_lon,Transit,tran_lat,tran_lon
Almaty,Kazakhstan,43.34651814,77.0119939,Riyadh,24.9604887,46.70212343,Muscat,23.60069209,58.28890729
Almaty,Kazakhstan,43.34651814,77.0119939,Salalah,17.04695823,54.08804568,Muscat,23.60069209,58.28890729
Almaty,Kazakhstan,43.34651814,77.0119939,Shiraz,29.60704,52.524651,Muscat,23.60069209,58.28890729
Almaty,Kazakhstan,43.34651814,77.0119939,Dubai,25.07725,55.30927,Muscat,23.60069209,58.28890729
Almaty,Kazakhstan,43.34651814,77.0119939,Doha,25.2677098,51.55819875,Muscat,23.60069209,58.28890729
Almaty,Kazakhstan,43.34651814,77.0119939,Kuwait,29.2403852,47.97091705,Muscat,23.60069209,58.28890729
Almaty,Kazakhstan,43.34651814,77.0119939,Bairut,33.82589151,35.49276702,Muscat,23.60069209,58.28890729
Almaty,Kazakhstan,43.34651814,77.0119939,Cairo (SPX) ,30.10754038,30.88667988,Muscat,23.60069209,58.28890729
Almaty,Kazakhstan,43.34651814,77.0119939,Duqm,19.50340891,57.63664505,Muscat,23.60069209,58.28890729
Almaty,Kazakhstan,43.34651814,77.0119939,Jeddah ,21.6830091,39.16634979,Muscat,23.60069209,58.28890729
Almaty,Kazakhstan,43.34651814,77.0119939,Baghdad ,33.26771992,44.23077194,Muscat,23.60069209,58.28890729
Almaty,Kazakhstan,43.34651814,77.0119939,Colombo,7.180070835,79.88417006,Muscat,23.60069209,58.28890729
Almaty,Kazakhstan,43.34651814,77.0119939,Calicut,11.13956658,75.95121222,Muscat,23.60069209,58.28890729
Almaty,Kazakhstan,43.34651814,77.0119939,Fujairah,25.176729,56.355046,Muscat,23.60069209,58.28890729
Almaty,Kazakhstan,43.34651814,77.0119939,Bharain,26.26741558,50.63001447,Muscat,23.60069209,58.28890729
Almaty,Kazakhstan,43.34651814,77.0119939,Dammam,26.4731379,49.79453543,Muscat,23.60069209,58.28890729
Almaty,Kazakhstan,43.34651814,77.0119939,Istanbul (Sabiha),41.27677836,28.72996804,Muscat,23.60069209,58.28890729
Bahrain,Bahrain,26.26741558,50.63001447,Salalah,17.04695823,54.08804568,Muscat,23.60069209,58.28890729
Bahrain,Bahrain,26.26741558,50.63001447,Bangkok,13.69239184,100.750564,Muscat,23.60069209,58.28890729
Bahrain,Bahrain,26.26741558,50.63001447,Dhaka,23.8432299,90.40206514,Muscat,23.60069209,58.28890729
Bahrain,Bahrain,26.26741558,50.63001447,Hyderabad ,17.361431,78.474533,Muscat,23.60069209,58.28890729
Bahrain,Bahrain,26.26741558,50.63001447,Colombo,7.180070835,79.88417006,Muscat,23.60069209,58.28890729
Bahrain,Bahrain,26.26741558,50.63001447,Calicut,11.13956658,75.95121222,Muscat,23.60069209,58.28890729
Bahrain,Bahrain,26.26741558,50.63001447,Sialkot,32.532569,74.36766744,Muscat,23.60069209,58.28890729
Bahrain,Bahrain,26.26741558,50.63001447,Mashhad,32.73998,35.32387,Muscat,23.60069209,58.28890729
Bahrain,Bahrain,26.26741558,50.63001447,Jaipur,26.82818436,75.80569051,Muscat,23.60069209,58.28890729
Bahrain,Bahrain,26.26741558,50.63001447,Chittagong,22.24575776,91.81446412,Muscat,23.60069209,58.28890729
Bahrain,Bahrain,26.26741558,50.63001447,Karachi,24.860735,67.001137,Muscat,23.60069209,58.28890729
Bahrain,Bahrain,26.26741558,50.63001447,Almaty,43.34651814,77.0119939,Muscat,23.60069209,58.28890729
Bahrain,Bahrain,26.26741558,50.63001447,Phuket,8.105340192,98.30522515,Muscat,23.60069209,58.28890729
Bahrain,Bahrain,26.26741558,50.63001447,Multan,30.157457,71.524918,Muscat,23.60069209,58.28890729
Bahrain,Bahrain,26.26741558,50.63001447,Lucknow,26.76527649,80.88533803,Muscat,23.60069209,58.28890729
Bahrain,Bahrain,26.26741558,50.63001447,Duqm,19.50340891,57.63664505,Muscat,23.60069209,58.28890729
Bahrain,Bahrain,26.26741558,50.63001447,Peshawar,34.015137,71.524918,Muscat,23.60069209,58.28890729
Bahrain,Bahrain,26.26741558,50.63001447,Tirana,41.41926081,19.71299069,Muscat,23.60069209,58.28890729
Bahrain,Bahrain,26.26741558,50.63001447,Islamabad ,33.55620027,72.83441615,Muscat,23.60069209,58.28890729
Bahrain,Bahrain,26.26741558,50.63001447,Lahore,31.52061463,74.41178216,Muscat,23.60069209,58.28890729
Bahrain,Bahrain,26.26741558,50.63001447,Chennai,12.98104406,80.15937623,Muscat,23.60069209,58.28890729
Bairut,Lebanon,33.82589151,35.49276702,Chittagong,22.24575776,91.81446412,Muscat,23.60069209,58.28890729
